Average reward: 0.733333, Steps: 0, number of eps: 15, current eps: 1.000000, Maxval: 3.000000, Average predicted Q: -0.759190 
Average reward: 1.800000, Steps: 200000, number of eps: 15, current eps: 0.865000, Maxval: 5.000000, Average predicted Q: 0.273197 
Average reward: 7.066667, Steps: 400000, number of eps: 15, current eps: 0.685000, Maxval: 10.000000, Average predicted Q: 1.149688 
Average reward: 9.866667, Steps: 600000, number of eps: 15, current eps: 0.505000, Maxval: 16.000000, Average predicted Q: 1.417615 
Average reward: 13.400000, Steps: 800000, number of eps: 15, current eps: 0.325000, Maxval: 21.000000, Average predicted Q: 1.937494 
Average reward: 13.400000, Steps: 1000000, number of eps: 15, current eps: 0.145000, Maxval: 28.000000, Average predicted Q: 1.896267 
Average reward: 11.400000, Steps: 1200000, number of eps: 15, current eps: 0.100000, Maxval: 19.000000, Average predicted Q: 2.188361 
Average reward: 12.000000, Steps: 1400000, number of eps: 15, current eps: 0.100000, Maxval: 17.000000, Average predicted Q: 2.458120 
Average reward: 17.133333, Steps: 1600000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 2.327768 
Average reward: 16.333333, Steps: 1800000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 2.715376 
Average reward: 16.400000, Steps: 2000000, number of eps: 15, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 2.938747 
Average reward: 16.600000, Steps: 2200000, number of eps: 15, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 2.982883 
Average reward: 16.266667, Steps: 2400000, number of eps: 15, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 3.088656 
Average reward: 20.533333, Steps: 2600000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 3.208344 
Average reward: 17.800000, Steps: 2800000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 3.151234 
Average reward: 20.333333, Steps: 3000000, number of eps: 15, current eps: 0.100000, Maxval: 40.000000, Average predicted Q: 3.410888 
Average reward: 21.800000, Steps: 3200000, number of eps: 15, current eps: 0.100000, Maxval: 46.000000, Average predicted Q: 3.632008 
Average reward: 20.866667, Steps: 3400000, number of eps: 15, current eps: 0.100000, Maxval: 45.000000, Average predicted Q: 3.810513 
Average reward: 19.400000, Steps: 3600000, number of eps: 15, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 3.851299 
Average reward: 23.866667, Steps: 3800000, number of eps: 15, current eps: 0.100000, Maxval: 54.000000, Average predicted Q: 3.852223 
Average reward: 21.400000, Steps: 4000000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.052161 
Average reward: 21.066667, Steps: 4200000, number of eps: 15, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 4.166612 
Average reward: 22.866667, Steps: 4400000, number of eps: 15, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 4.351404 
Average reward: 24.066667, Steps: 4600000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 4.263730 
Average reward: 16.800000, Steps: 4800000, number of eps: 15, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 4.189219 
Average reward: 20.666667, Steps: 5000000, number of eps: 15, current eps: 0.100000, Maxval: 43.000000, Average predicted Q: 4.292634 
Average reward: 20.466667, Steps: 5200000, number of eps: 15, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 4.533344 
Average reward: 25.466667, Steps: 5400000, number of eps: 15, current eps: 0.100000, Maxval: 57.000000, Average predicted Q: 4.500004 
Average reward: 26.066667, Steps: 5600000, number of eps: 15, current eps: 0.100000, Maxval: 37.000000, Average predicted Q: 4.432670 
Average reward: 24.600000, Steps: 5800000, number of eps: 15, current eps: 0.100000, Maxval: 47.000000, Average predicted Q: 4.436715 
Average reward: 23.066667, Steps: 6000000, number of eps: 15, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 4.499839 
Average reward: 25.000000, Steps: 6200000, number of eps: 15, current eps: 0.100000, Maxval: 50.000000, Average predicted Q: 4.456635 
Average reward: 17.666667, Steps: 6400000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 4.484622 
Average reward: 26.666667, Steps: 6600000, number of eps: 15, current eps: 0.100000, Maxval: 65.000000, Average predicted Q: 4.506855 
Average reward: 28.400000, Steps: 6800000, number of eps: 15, current eps: 0.100000, Maxval: 48.000000, Average predicted Q: 4.656242 
Average reward: 20.866667, Steps: 7000000, number of eps: 15, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 4.792540 
Average reward: 22.133333, Steps: 7200000, number of eps: 15, current eps: 0.100000, Maxval: 46.000000, Average predicted Q: 4.640024 
Average reward: 24.333333, Steps: 7400000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.670222 
Average reward: 26.466667, Steps: 7600000, number of eps: 15, current eps: 0.100000, Maxval: 43.000000, Average predicted Q: 4.635822 
Average reward: 18.733333, Steps: 7800000, number of eps: 15, current eps: 0.100000, Maxval: 28.000000, Average predicted Q: 4.653540 
Average reward: 25.533333, Steps: 8000000, number of eps: 15, current eps: 0.100000, Maxval: 48.000000, Average predicted Q: 4.626598 
Average reward: 24.733333, Steps: 8200000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 4.683370 
Average reward: 24.666667, Steps: 8400000, number of eps: 15, current eps: 0.100000, Maxval: 48.000000, Average predicted Q: 4.565378 
Average reward: 22.866667, Steps: 8600000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 4.582568 
Average reward: 23.666667, Steps: 8800000, number of eps: 15, current eps: 0.100000, Maxval: 69.000000, Average predicted Q: 4.428435 
Average reward: 23.733333, Steps: 9000000, number of eps: 15, current eps: 0.100000, Maxval: 45.000000, Average predicted Q: 4.377595 
Average reward: 25.600000, Steps: 9200000, number of eps: 15, current eps: 0.100000, Maxval: 50.000000, Average predicted Q: 4.037232 
Average reward: 20.666667, Steps: 9400000, number of eps: 15, current eps: 0.100000, Maxval: 60.000000, Average predicted Q: 4.383249 
Average reward: 23.600000, Steps: 9600000, number of eps: 15, current eps: 0.100000, Maxval: 60.000000, Average predicted Q: 4.319064 
Average reward: 19.800000, Steps: 9800000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.480540 
Average reward: 27.933333, Steps: 10000000, number of eps: 15, current eps: 0.100000, Maxval: 65.000000, Average predicted Q: 4.465341 
