Average reward: 1.333333, Steps: 0, number of eps: 15, current eps: 1.000000, Average predicted Q: 0.214776 
Average reward: 4.600000, Steps: 200000, number of eps: 15, current eps: 0.985000, Average predicted Q: 0.540074 
Average reward: 8.666667, Steps: 400000, number of eps: 15, current eps: 0.965000, Average predicted Q: 1.395233 
Average reward: 8.333333, Steps: 600000, number of eps: 15, current eps: 0.945000, Average predicted Q: 1.884108 
Average reward: 8.666667, Steps: 800000, number of eps: 15, current eps: 0.925000, Average predicted Q: 2.360121 
Average reward: 11.600000, Steps: 1000000, number of eps: 15, current eps: 0.905000, Average predicted Q: 2.615363 
Average reward: 12.066667, Steps: 1200000, number of eps: 15, current eps: 0.885000, Average predicted Q: 2.535675 
Average reward: 11.333333, Steps: 1400000, number of eps: 15, current eps: 0.865000, Average predicted Q: 2.832026 
Average reward: 14.466667, Steps: 1600000, number of eps: 15, current eps: 0.845000, Average predicted Q: 3.233675 
Average reward: 10.733333, Steps: 1800000, number of eps: 15, current eps: 0.825000, Average predicted Q: 3.202191 
Average reward: 12.400000, Steps: 2000000, number of eps: 15, current eps: 0.805000, Average predicted Q: 3.515557 
Average reward: 13.866667, Steps: 2200000, number of eps: 15, current eps: 0.785000, Average predicted Q: 3.069451 
Average reward: 12.600000, Steps: 2400000, number of eps: 15, current eps: 0.765000, Average predicted Q: 3.621691 
Average reward: 11.533333, Steps: 2600000, number of eps: 15, current eps: 0.745000, Average predicted Q: 3.619678 
Average reward: 12.266667, Steps: 2800000, number of eps: 15, current eps: 0.725000, Average predicted Q: 3.917606 
Average reward: 14.666667, Steps: 3000000, number of eps: 15, current eps: 0.705000, Average predicted Q: 3.483284 
Average reward: 12.800000, Steps: 3200000, number of eps: 15, current eps: 0.685000, Average predicted Q: 3.755562 
Average reward: 14.066667, Steps: 3400000, number of eps: 15, current eps: 0.665000, Average predicted Q: 3.698383 
Average reward: 18.400000, Steps: 3600000, number of eps: 15, current eps: 0.645000, Average predicted Q: 3.297409 
Average reward: 16.866667, Steps: 3800000, number of eps: 15, current eps: 0.625000, Average predicted Q: 3.214568 
Average reward: 15.733333, Steps: 4000000, number of eps: 15, current eps: 0.605000, Average predicted Q: 3.940166 
Average reward: 18.333333, Steps: 4200000, number of eps: 15, current eps: 0.585000, Average predicted Q: 3.113061 
Average reward: 14.800000, Steps: 4400000, number of eps: 15, current eps: 0.565000, Average predicted Q: 3.448565 
Average reward: 17.933333, Steps: 4600000, number of eps: 15, current eps: 0.545000, Average predicted Q: 3.432678 
Average reward: 16.200000, Steps: 4800000, number of eps: 15, current eps: 0.525000, Average predicted Q: 3.610960 
Average reward: 18.533333, Steps: 5000000, number of eps: 15, current eps: 0.505000, Average predicted Q: 3.472593 
Average reward: 18.333333, Steps: 5200000, number of eps: 15, current eps: 0.485000, Average predicted Q: 3.503978 
Average reward: 16.533333, Steps: 5400000, number of eps: 15, current eps: 0.465000, Average predicted Q: 3.324742 
Average reward: 18.000000, Steps: 5600000, number of eps: 15, current eps: 0.445000, Average predicted Q: 3.330105 
Average reward: 16.533333, Steps: 5800000, number of eps: 15, current eps: 0.425000, Average predicted Q: 3.372958 
Average reward: 19.266667, Steps: 6000000, number of eps: 15, current eps: 0.405000, Average predicted Q: 3.473675 
Average reward: 17.333333, Steps: 6200000, number of eps: 15, current eps: 0.385000, Average predicted Q: 3.544681 
Average reward: 19.266667, Steps: 6400000, number of eps: 15, current eps: 0.365000, Average predicted Q: 3.709058 
Average reward: 17.533333, Steps: 6600000, number of eps: 15, current eps: 0.345000, Average predicted Q: 3.701292 
Average reward: 20.600000, Steps: 6800000, number of eps: 15, current eps: 0.325000, Average predicted Q: 3.404803 
Average reward: 18.800000, Steps: 7000000, number of eps: 15, current eps: 0.305000, Average predicted Q: 3.757553 
Average reward: 19.933333, Steps: 7200000, number of eps: 15, current eps: 0.285000, Average predicted Q: 3.690300 
Average reward: 18.200000, Steps: 7400000, number of eps: 15, current eps: 0.265000, Average predicted Q: 3.841824 
Average reward: 18.533333, Steps: 7600000, number of eps: 15, current eps: 0.245000, Average predicted Q: 3.719029 
Average reward: 24.000000, Steps: 7800000, number of eps: 15, current eps: 0.225000, Average predicted Q: 3.535423 
Average reward: 21.400000, Steps: 8000000, number of eps: 15, current eps: 0.205000, Average predicted Q: 3.553523 
Average reward: 22.600000, Steps: 8200000, number of eps: 15, current eps: 0.185000, Average predicted Q: 3.844232 
Average reward: 17.266667, Steps: 8400000, number of eps: 15, current eps: 0.165000, Average predicted Q: 3.771707 
Average reward: 21.866667, Steps: 8600000, number of eps: 15, current eps: 0.145000, Average predicted Q: 3.803604 
Average reward: 20.866667, Steps: 8800000, number of eps: 15, current eps: 0.125000, Average predicted Q: 3.927702 
Average reward: 17.466667, Steps: 9000000, number of eps: 15, current eps: 0.105000, Average predicted Q: 3.938772 
Average reward: 22.933333, Steps: 9200000, number of eps: 15, current eps: 0.100000, Average predicted Q: 4.155585 
Average reward: 21.800000, Steps: 9400000, number of eps: 15, current eps: 0.100000, Average predicted Q: 4.232299 
Average reward: 23.533333, Steps: 9600000, number of eps: 15, current eps: 0.100000, Average predicted Q: 3.952637 
Average reward: 24.200000, Steps: 9800000, number of eps: 15, current eps: 0.100000, Average predicted Q: 3.963760 
Average reward: 20.466667, Steps: 10000000, number of eps: 15, current eps: 0.100000, Average predicted Q: 4.090388 
