Average reward: 1.600000, Steps: 0, number of eps: 15, current eps: 1.000000, Maxval: 4.000000, Average predicted Q: 0.455300 
Average reward: 5.666667, Steps: 200000, number of eps: 15, current eps: 0.864599, Maxval: 12.000000, Average predicted Q: 1.037061 
Average reward: 8.266667, Steps: 400000, number of eps: 15, current eps: 0.684599, Maxval: 15.000000, Average predicted Q: 1.547892 
Average reward: 11.000000, Steps: 600000, number of eps: 15, current eps: 0.504599, Maxval: 17.000000, Average predicted Q: 2.200843 
Average reward: 9.733333, Steps: 800000, number of eps: 15, current eps: 0.324599, Maxval: 16.000000, Average predicted Q: 2.944180 
Average reward: 13.866667, Steps: 1000000, number of eps: 15, current eps: 0.144599, Maxval: 26.000000, Average predicted Q: 2.488968 
Average reward: 13.800000, Steps: 1200000, number of eps: 15, current eps: 0.100000, Maxval: 28.000000, Average predicted Q: 2.936041 
Average reward: 18.933333, Steps: 1400000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 3.185042 
Average reward: 14.066667, Steps: 1600000, number of eps: 15, current eps: 0.100000, Maxval: 24.000000, Average predicted Q: 3.551079 
Average reward: 18.400000, Steps: 1800000, number of eps: 15, current eps: 0.100000, Maxval: 37.000000, Average predicted Q: 3.302847 
Average reward: 18.666667, Steps: 2000000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 3.655333 
Average reward: 18.066667, Steps: 2200000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 3.613945 
Average reward: 21.200000, Steps: 2400000, number of eps: 15, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 3.911827 
Average reward: 15.600000, Steps: 2600000, number of eps: 15, current eps: 0.100000, Maxval: 25.000000, Average predicted Q: 4.151032 
Average reward: 19.666667, Steps: 2800000, number of eps: 15, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 4.251433 
Average reward: 21.133333, Steps: 3000000, number of eps: 15, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 3.989361 
Average reward: 22.600000, Steps: 3200000, number of eps: 15, current eps: 0.100000, Maxval: 45.000000, Average predicted Q: 4.061843 
Average reward: 20.333333, Steps: 3400000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.444969 
Average reward: 19.533333, Steps: 3600000, number of eps: 15, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 4.561707 
Average reward: 23.600000, Steps: 3800000, number of eps: 15, current eps: 0.100000, Maxval: 42.000000, Average predicted Q: 4.296577 
Average reward: 20.066667, Steps: 4000000, number of eps: 15, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 4.689288 
Average reward: 18.933333, Steps: 4200000, number of eps: 15, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 4.715863 
Average reward: 18.066667, Steps: 4400000, number of eps: 15, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 4.869402 
Average reward: 19.866667, Steps: 4600000, number of eps: 15, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 4.721053 
Average reward: 22.133333, Steps: 4800000, number of eps: 15, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 5.025290 
Average reward: 22.266667, Steps: 5000000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 4.782419 
Average reward: 27.000000, Steps: 5200000, number of eps: 15, current eps: 0.100000, Maxval: 42.000000, Average predicted Q: 4.508174 
Average reward: 20.400000, Steps: 5400000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 4.691882 
Average reward: 24.000000, Steps: 5600000, number of eps: 15, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 4.582856 
Average reward: 21.333333, Steps: 5800000, number of eps: 15, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 4.895715 
Average reward: 22.266667, Steps: 6000000, number of eps: 15, current eps: 0.100000, Maxval: 46.000000, Average predicted Q: 4.770232 
Average reward: 28.533333, Steps: 6200000, number of eps: 15, current eps: 0.100000, Maxval: 61.000000, Average predicted Q: 4.722468 
Average reward: 21.866667, Steps: 6400000, number of eps: 15, current eps: 0.100000, Maxval: 60.000000, Average predicted Q: 5.251309 
Average reward: 27.400000, Steps: 6600000, number of eps: 15, current eps: 0.100000, Maxval: 50.000000, Average predicted Q: 5.111590 
Average reward: 21.066667, Steps: 6800000, number of eps: 15, current eps: 0.100000, Maxval: 52.000000, Average predicted Q: 5.160484 
Average reward: 25.666667, Steps: 7000000, number of eps: 15, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 5.301087 
Average reward: 24.400000, Steps: 7200000, number of eps: 15, current eps: 0.100000, Maxval: 43.000000, Average predicted Q: 5.360884 
Average reward: 24.533333, Steps: 7400000, number of eps: 15, current eps: 0.100000, Maxval: 44.000000, Average predicted Q: 5.418951 
Average reward: 23.600000, Steps: 7600000, number of eps: 15, current eps: 0.100000, Maxval: 43.000000, Average predicted Q: 5.342880 
Average reward: 25.400000, Steps: 7800000, number of eps: 15, current eps: 0.100000, Maxval: 42.000000, Average predicted Q: 5.331087 
Average reward: 18.533333, Steps: 8000000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 5.588735 
Average reward: 22.600000, Steps: 8200000, number of eps: 15, current eps: 0.100000, Maxval: 52.000000, Average predicted Q: 5.304621 
Average reward: 24.000000, Steps: 8400000, number of eps: 15, current eps: 0.100000, Maxval: 54.000000, Average predicted Q: 5.221152 
Average reward: 23.200000, Steps: 8600000, number of eps: 15, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 5.298919 
Average reward: 25.866667, Steps: 8800000, number of eps: 15, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 4.865456 
Average reward: 22.000000, Steps: 9000000, number of eps: 15, current eps: 0.100000, Maxval: 44.000000, Average predicted Q: 5.119664 
Average reward: 20.000000, Steps: 9200000, number of eps: 15, current eps: 0.100000, Maxval: 47.000000, Average predicted Q: 5.144985 
Average reward: 25.200000, Steps: 9400000, number of eps: 15, current eps: 0.100000, Maxval: 46.000000, Average predicted Q: 5.282870 
Average reward: 23.200000, Steps: 9600000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 5.077113 
Average reward: 26.000000, Steps: 9800000, number of eps: 15, current eps: 0.100000, Maxval: 55.000000, Average predicted Q: 5.189256 
Average reward: 23.200000, Steps: 10000000, number of eps: 15, current eps: 0.100000, Maxval: 53.000000, Average predicted Q: 5.250338
