Average reward: 1.866667, Steps: 0, number of eps: 15, current eps: 1.000000, Maxval: 4.000000, Average predicted Q: 0.241946 
Average reward: 2.000000, Steps: 200000, number of eps: 15, current eps: 0.865000, Maxval: 6.000000, Average predicted Q: 0.257185 
Average reward: 8.133333, Steps: 400000, number of eps: 15, current eps: 0.685000, Maxval: 12.000000, Average predicted Q: 1.330695 
Average reward: 9.466667, Steps: 600000, number of eps: 15, current eps: 0.505000, Maxval: 21.000000, Average predicted Q: 1.861008 
Average reward: 12.466667, Steps: 800000, number of eps: 15, current eps: 0.325000, Maxval: 18.000000, Average predicted Q: 2.206237 
Average reward: 12.466667, Steps: 1000000, number of eps: 15, current eps: 0.145000, Maxval: 24.000000, Average predicted Q: 2.187309 
Average reward: 14.400000, Steps: 1200000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 2.369393 
Average reward: 17.400000, Steps: 1400000, number of eps: 15, current eps: 0.100000, Maxval: 30.000000, Average predicted Q: 2.153013 
Average reward: 15.066667, Steps: 1600000, number of eps: 15, current eps: 0.100000, Maxval: 42.000000, Average predicted Q: 2.554327 
Average reward: 16.200000, Steps: 1800000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 2.556506 
Average reward: 13.533333, Steps: 2000000, number of eps: 15, current eps: 0.100000, Maxval: 25.000000, Average predicted Q: 2.778714 
Average reward: 20.000000, Steps: 2200000, number of eps: 15, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 2.755633 
Average reward: 19.000000, Steps: 2400000, number of eps: 15, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 2.915731 
Average reward: 19.333333, Steps: 2600000, number of eps: 15, current eps: 0.100000, Maxval: 48.000000, Average predicted Q: 3.277573 
Average reward: 20.666667, Steps: 2800000, number of eps: 15, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 3.527814 
Average reward: 22.333333, Steps: 3000000, number of eps: 15, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 3.679479 
Average reward: 21.866667, Steps: 3200000, number of eps: 15, current eps: 0.100000, Maxval: 44.000000, Average predicted Q: 3.745928 
Average reward: 20.666667, Steps: 3400000, number of eps: 15, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 3.928668 
