Average reward: 0.800000, Steps: 0, number of eps: 5, current eps: 1.000000, Maxval: 3.000000, Average predicted Q: 0.258596 
Average reward: 6.400000, Steps: 200000, number of eps: 5, current eps: 0.865000, Maxval: 9.000000, Average predicted Q: 0.925197 
Average reward: 7.400000, Steps: 400000, number of eps: 5, current eps: 0.685000, Maxval: 11.000000, Average predicted Q: 1.658865 
Average reward: 11.000000, Steps: 600000, number of eps: 5, current eps: 0.505000, Maxval: 13.000000, Average predicted Q: 2.302541 
Average reward: 16.200000, Steps: 800000, number of eps: 5, current eps: 0.325000, Maxval: 21.000000, Average predicted Q: 3.354488 
Average reward: 13.200000, Steps: 1000000, number of eps: 5, current eps: 0.145000, Maxval: 22.000000, Average predicted Q: 3.214753 
Average reward: 14.200000, Steps: 1200000, number of eps: 5, current eps: 0.100000, Maxval: 21.000000, Average predicted Q: 2.641537 
Average reward: 14.000000, Steps: 1400000, number of eps: 5, current eps: 0.100000, Maxval: 20.000000, Average predicted Q: 3.280232 
Average reward: 19.200000, Steps: 1600000, number of eps: 5, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 3.232093 
Average reward: 18.200000, Steps: 1800000, number of eps: 5, current eps: 0.100000, Maxval: 23.000000, Average predicted Q: 3.135262 
Average reward: 16.400000, Steps: 2000000, number of eps: 5, current eps: 0.100000, Maxval: 19.000000, Average predicted Q: 3.478863 
Average reward: 22.200000, Steps: 2200000, number of eps: 5, current eps: 0.100000, Maxval: 30.000000, Average predicted Q: 3.252180 
Average reward: 15.000000, Steps: 2400000, number of eps: 5, current eps: 0.100000, Maxval: 22.000000, Average predicted Q: 3.559109 
Average reward: 15.800000, Steps: 2600000, number of eps: 5, current eps: 0.100000, Maxval: 23.000000, Average predicted Q: 3.770268 
Average reward: 14.400000, Steps: 2800000, number of eps: 5, current eps: 0.100000, Maxval: 23.000000, Average predicted Q: 3.748803 
Average reward: 27.000000, Steps: 3000000, number of eps: 5, current eps: 0.100000, Maxval: 42.000000, Average predicted Q: 3.973055 
Average reward: 18.000000, Steps: 3200000, number of eps: 5, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 4.491047 
Average reward: 24.200000, Steps: 3400000, number of eps: 5, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 4.145916 
Average reward: 15.600000, Steps: 3600000, number of eps: 5, current eps: 0.100000, Maxval: 21.000000, Average predicted Q: 4.564386 
Average reward: 22.000000, Steps: 3800000, number of eps: 5, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.720999 
Average reward: 21.400000, Steps: 4000000, number of eps: 5, current eps: 0.100000, Maxval: 45.000000, Average predicted Q: 4.851775 
Average reward: 23.000000, Steps: 4200000, number of eps: 5, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 4.798638 
Average reward: 22.000000, Steps: 4400000, number of eps: 5, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 5.052850 
Average reward: 13.400000, Steps: 4600000, number of eps: 5, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 4.713672 
Average reward: 24.200000, Steps: 4800000, number of eps: 5, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 5.237863 
Average reward: 30.200000, Steps: 5000000, number of eps: 5, current eps: 0.100000, Maxval: 61.000000, Average predicted Q: 5.353555 
Average reward: 19.600000, Steps: 5200000, number of eps: 5, current eps: 0.100000, Maxval: 26.000000, Average predicted Q: 5.424483 
Average reward: 23.000000, Steps: 5400000, number of eps: 5, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 5.187947 
Average reward: 22.400000, Steps: 5600000, number of eps: 5, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 5.297321 
Average reward: 23.200000, Steps: 5800000, number of eps: 5, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 5.248400 
Average reward: 18.600000, Steps: 6000000, number of eps: 5, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 5.211317 
Average reward: 26.800000, Steps: 6200000, number of eps: 5, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 5.366639 
Average reward: 20.200000, Steps: 6400000, number of eps: 5, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 5.590454 
Average reward: 21.800000, Steps: 6600000, number of eps: 5, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 5.531104 
Average reward: 25.400000, Steps: 6800000, number of eps: 5, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 5.147887 
Average reward: 22.200000, Steps: 7000000, number of eps: 5, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 5.203405 
Average reward: 14.200000, Steps: 7200000, number of eps: 5, current eps: 0.100000, Maxval: 22.000000, Average predicted Q: 5.513160 
Average reward: 22.000000, Steps: 7400000, number of eps: 5, current eps: 0.100000, Maxval: 37.000000, Average predicted Q: 5.457789 
Average reward: 22.200000, Steps: 7600000, number of eps: 5, current eps: 0.100000, Maxval: 28.000000, Average predicted Q: 4.864092 
Average reward: 24.800000, Steps: 7800000, number of eps: 5, current eps: 0.100000, Maxval: 35.000000, Average predicted Q: 4.988226 
Average reward: 21.600000, Steps: 8000000, number of eps: 5, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 5.247082 
Average reward: 17.600000, Steps: 8200000, number of eps: 5, current eps: 0.100000, Maxval: 26.000000, Average predicted Q: 5.101170 
Average reward: 23.600000, Steps: 8400000, number of eps: 5, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 5.119511 
Average reward: 32.800000, Steps: 8600000, number of eps: 5, current eps: 0.100000, Maxval: 49.000000, Average predicted Q: 4.911868 
Average reward: 29.600000, Steps: 8800000, number of eps: 5, current eps: 0.100000, Maxval: 45.000000, Average predicted Q: 4.859506 
Average reward: 19.600000, Steps: 9000000, number of eps: 5, current eps: 0.100000, Maxval: 36.000000, Average predicted Q: 5.270700 
Average reward: 20.600000, Steps: 9200000, number of eps: 5, current eps: 0.100000, Maxval: 34.000000, Average predicted Q: 4.972058 
Average reward: 28.400000, Steps: 9400000, number of eps: 5, current eps: 0.100000, Maxval: 39.000000, Average predicted Q: 5.018770 
Average reward: 21.600000, Steps: 9600000, number of eps: 5, current eps: 0.100000, Maxval: 41.000000, Average predicted Q: 4.904110 
Average reward: 22.400000, Steps: 9800000, number of eps: 5, current eps: 0.100000, Maxval: 31.000000, Average predicted Q: 4.657103 
Average reward: 23.000000, Steps: 10000000, number of eps: 5, current eps: 0.100000, Maxval: 38.000000, Average predicted Q: 5.010111 
