Average reward: 1.866667, Steps: 0, number of eps: 15, current eps: 1.000000, Maxval: 5.000000, Average predicted Q: 0.467792 
Average reward: 1.266667, Steps: 0, number of eps: 15, current eps: 1.000000, Maxval: 4.000000, Average predicted Q: 0.893017 
Average reward: 2.866667, Steps: 200000, number of eps: 15, current eps: 0.865000, Maxval: 6.000000, Average predicted Q: 0.936327 
Average reward: 5.733333, Steps: 400000, number of eps: 15, current eps: 0.685000, Maxval: 8.000000, Average predicted Q: 2.936343 
Average reward: 8.000000, Steps: 600000, number of eps: 15, current eps: 0.505000, Maxval: 11.000000, Average predicted Q: 4.004771 
Average reward: 10.066667, Steps: 800000, number of eps: 15, current eps: 0.325000, Maxval: 19.000000, Average predicted Q: 4.342592 
Average reward: 11.533333, Steps: 1000000, number of eps: 15, current eps: 0.145000, Maxval: 15.000000, Average predicted Q: 4.875035 
Average reward: 11.000000, Steps: 1200000, number of eps: 15, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 6.092819 
Average reward: 12.733333, Steps: 1400000, number of eps: 15, current eps: 0.100000, Maxval: 28.000000, Average predicted Q: 4.997376 
Average reward: 14.000000, Steps: 1600000, number of eps: 15, current eps: 0.100000, Maxval: 33.000000, Average predicted Q: 4.911147 
Average reward: 13.333333, Steps: 1800000, number of eps: 15, current eps: 0.100000, Maxval: 30.000000, Average predicted Q: 5.801797 
Average reward: 13.200000, Steps: 2000000, number of eps: 15, current eps: 0.100000, Maxval: 22.000000, Average predicted Q: 5.586536 
Average reward: 15.133333, Steps: 2200000, number of eps: 15, current eps: 0.100000, Maxval: 29.000000, Average predicted Q: 5.452782 
Average reward: 16.266667, Steps: 2400000, number of eps: 15, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 4.514587 
Average reward: 15.733333, Steps: 2600000, number of eps: 15, current eps: 0.100000, Maxval: 26.000000, Average predicted Q: 5.390375 
Average reward: 16.400000, Steps: 2800000, number of eps: 15, current eps: 0.100000, Maxval: 27.000000, Average predicted Q: 5.058029 
Average reward: 14.066667, Steps: 3000000, number of eps: 15, current eps: 0.100000, Maxval: 23.000000, Average predicted Q: 5.447087 
Average reward: 14.866667, Steps: 3200000, number of eps: 15, current eps: 0.100000, Maxval: 24.000000, Average predicted Q: 5.654413 
