Average reward: 0.000000, Steps: 0, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 200000, number of eps: 5, Maxval: 2.000000,  Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 400000, number of eps: 5, Maxval: 3.000000,  Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 600000, number of eps: 5, Maxval: 1.000000,  Average predicted Q: 0.000000 
Average reward: 0.800000, Steps: 800000, number of eps: 5, Maxval: 3.000000,  Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 1000000, number of eps: 5, Maxval: 1.000000,  Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 1200000, number of eps: 5, Maxval: 1.000000,  Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 1400000, number of eps: 5, Maxval: 1.000000,  Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 1600000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 1800000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 2000000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 2200000, number of eps: 5, Maxval: 3.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 2400000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 2600000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 2800000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 3000000, number of eps: 5, Maxval: 2.000000, Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 3200000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 3400000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 3600000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 3800000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 4000000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 4200000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 1.200000, Steps: 4400000, number of eps: 5, Maxval: 5.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 4600000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 1.000000, Steps: 4800000, number of eps: 5, Maxval: 3.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 5000000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 5200000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 5400000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 5600000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 5800000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 6000000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 6200000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 6400000, number of eps: 5, Maxval: 2.000000, Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 6600000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 6800000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 7000000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 7200000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 7400000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 1.000000, Steps: 7600000, number of eps: 5, Maxval: 4.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 7800000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.600000, Steps: 8000000, number of eps: 5, Maxval: 2.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 8200000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 8400000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 8600000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 8800000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 9000000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.000000, Steps: 9200000, number of eps: 5, Maxval: 0.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 9400000, number of eps: 5, Maxval: 2.000000, Average predicted Q: 0.000000 
Average reward: 0.400000, Steps: 9600000, number of eps: 5, Maxval: 2.000000, Average predicted Q: 0.000000 
Average reward: 0.200000, Steps: 9800000, number of eps: 5, Maxval: 1.000000, Average predicted Q: 0.000000 
